source_x_coordinate,source_y_coordinate
0.248,0.11
waypoint_number,x_coordinate,y_coordinate,signal_strength
216,1.79,2.157,-31
217,1.794,2.297,-34
218,1.771,2.386,-38
219,1.79,2.521,-29
220,1.872,2.577,-32
221,1.915,2.518,-39
222,1.922,2.377,-27
223,1.914,2.288,-27
224,1.916,2.146,-35
225,1.915,2.007,-41
226,1.919,1.868,-34
227,1.904,1.782,-32
228,1.922,1.646,-33
229,1.914,1.515,-30
230,1.925,1.37,-36
231,1.906,1.278,-42
232,1.915,1.146,-30
233,1.915,1.005,-33
234,1.917,0.911,-28
235,1.909,0.773,-31
236,1.917,0.635,-29
237,1.912,0.502,-36
238,1.94,0.368,-32
239,1.902,0.282,-26
240,2.025,0.225,-26
241,2.091,0.267,-33
242,2.056,0.398,-30
243,2.064,0.54,-26
244,2.067,0.675,-29
245,2.048,0.768,-26
246,2.065,0.904,-27
247,2.058,1.038,-24
248,2.079,1.135,-25
249,2.06,1.265,-43
250,2.069,1.405,-31
251,2.063,1.541,-35
252,2.067,1.679,-34
253,2.047,1.757,-29
254,2.059,1.908,-27
255,2.064,2.045,-31
256,2.046,2.133,-33
257,2.059,2.274,-37
258,2.057,2.412,-37
259,2.069,2.512,-36
260,2.147,2.587,-34
261,2.191,2.497,-31
262,2.161,2.368,-43
263,2.2,2.288,-34
264,2.186,2.152,-44
265,2.192,2.008,-34
266,2.177,1.874,-32
267,2.179,1.782,-27
268,2.193,1.645,-25
269,2.181,1.514,-30
270,2.195,1.378,-35
271,2.186,1.245,-29
272,2.221,1.157,-35
273,2.181,1.03,-35
274,2.187,0.892,-27
275,2.186,0.753,-32
276,2.201,0.662,-28
277,2.178,0.525,-30
278,2.188,0.384,-29
279,2.186,0.247,-25
280,2.256,0.186,-21
281,2.334,0.263,-26
282,2.319,0.394,-24
283,2.326,0.532,-27
284,2.326,0.669,-26
285,2.346,0.761,-32
286,2.338,0.9,-36
287,2.343,1.039,-24
288,2.328,1.177,-24
289,2.348,1.268,-25
290,2.336,1.405,-37
291,2.349,1.542,-23
292,2.328,1.633,-23
293,2.339,1.77,-27
294,2.336,1.908,-52
295,2.337,2.041,-36
296,2.321,2.176,-30
297,2.343,2.265,-33
298,2.335,2.4,-30
299,2.34,2.543,-26
300,2.399,2.585,-37
301,2.442,2.518,-36
302,2.455,2.383,-38
303,2.467,2.245,-29
304,2.444,2.151,-27
305,2.467,2.018,-32
306,2.459,1.883,-28
307,2.466,1.752,-29
308,2.444,1.659,-26
309,2.469,1.527,-36
310,2.458,1.386,-30
311,2.461,1.251,-38
312,2.449,1.155,-36
313,2.465,1.016,-35
314,2.46,0.88,-29
315,2.465,0.747,-43
316,2.448,0.616,-30
317,2.475,0.531,-31
318,2.456,0.398,-28
319,2.474,0.264,-25
320,2.555,0.188,-25
321,2.622,0.266,-24
322,2.604,0.402,-21
323,2.606,0.54,-27
324,2.598,0.678,-30
325,2.616,0.769,-31
326,2.606,0.905,-27
327,2.61,1.044,-28
328,2.598,1.138,-29
329,2.611,1.277,-25
330,2.613,1.418,-30
331,2.609,1.511,-27
332,2.603,1.649,-25
333,2.599,1.791,-27
334,2.615,1.925,-26
335,2.593,2.014,-31
336,2.606,2.148,-27
337,2.599,2.281,-32
338,2.61,2.425,-42
339,2.589,2.505,-42
340,2.678,2.538,-44
341,2.749,2.527,-29
342,2.713,2.405,-29
343,2.728,2.263,-39
344,2.73,2.123,-27
345,2.725,2.038,-26
346,2.721,1.891,-25
347,2.734,1.757,-29
348,2.753,1.659,-32
349,2.739,1.518,-37
350,2.736,1.378,-31
351,2.741,1.242,-31
352,2.766,1.152,-38
353,2.726,1.024,-46
354,2.726,0.89,-40
355,2.713,0.757,-42
356,2.744,0.666,-25
357,2.733,0.527,-25
358,2.738,0.391,-26
359,2.727,0.257,-32
360,2.817,0.179,-22
361,2.886,0.26,-30
362,2.877,0.399,-33
363,2.876,0.537,-29
364,2.881,0.677,-23
365,2.893,0.768,-26
366,2.882,0.905,-28
367,2.902,1.037,-34
368,2.863,1.179,-29
369,2.884,1.27,-29
370,2.857,1.41,-34
371,2.872,1.549,-34
372,2.865,1.641,-37
373,2.881,1.78,-24
374,2.877,1.917,-30
375,2.883,2.008,-27
376,2.874,2.15,-29
377,2.881,2.286,-32
378,2.867,2.422,-33
379,2.886,2.513,-33
380,2.955,2.578,-33
381,3.025,2.506,-40
382,2.987,2.375,-29
383,2.995,2.282,-31
384,3.004,2.145,-31
385,2.998,2.008,-27
386,3.009,1.877,-31
387,2.996,1.749,-31
388,3.019,1.623,-32
389,2.998,1.495,-28
390,3.034,1.407,-32
391,3.001,1.28,-29
392,3.014,1.145,-31
393,3.006,1.001,-27
394,3.01,0.909,-35
395,2.995,0.772,-25
396,2.986,0.636,-24
397,3.0,0.54,-25
398,3.0,0.4,-28
399,2.996,0.266,-36
